"Weeks","a","b","R2","RMSE","VI","Fieldname","Approach"
1,11.133078798978,0.879569492900357,0.032949216243284,2.29367704883854,"NDVI","DMD_GH1","1a"
1,10.616877125088,0.847818443452679,0.0314279642876884,2.20747157127531,"GNDVI","DMD_GH1","1a"
1,11.2127078839397,0.472241909941613,0.0371263808565387,2.29760574943399,"EVI2","DMD_GH1","1a"
1,9.89040817664589,0.205729082370518,0.0348922482717034,3.85096495219765,"SR","DMD_GH1","1a"
1,14.3487117670454,-0.00694234169487723,0.0248901448277855,2.01767449143343,"EXG","DMD_GH1","1a"
1,15.3431953319068,-0.0128125276802731,0.0295839094774153,2.05024190053202,"TGI","DMD_GH1","1a"
2,11.8852633642514,0.635902309886813,0.0157801281745881,2.25447422192277,"NDVI","DMD_GH1","1a"
2,11.4148316865856,0.648520772324136,0.0197842926953111,2.20488926254546,"GNDVI","DMD_GH1","1a"
2,11.9257660138487,0.346208475465419,0.0197672549645649,2.24926544965153,"EVI2","DMD_GH1","1a"
2,11.1329168320597,0.138544733576838,0.0159573010852243,2.34296386412919,"SR","DMD_GH1","1a"
2,14.5976237276616,-0.00712600456863666,0.0314471259746641,1.99983575917945,"EXG","DMD_GH1","1a"
2,15.5797981613155,-0.011827223169076,0.0302546595889777,2.05510388222067,"TGI","DMD_GH1","1a"
3,16.6492956820436,-0.358700489747391,0.0108873594110365,2.1354725682793,"NDVI","DMD_GH1","1a"
3,15.3123860001852,-0.0939679500745146,0.000916409129070295,2.17309890136527,"GNDVI","DMD_GH1","1a"
3,15.8355730283057,-0.115525931853333,0.0051746523158666,2.15485115793842,"EVI2","DMD_GH1","1a"
3,17.1680513667336,-0.0749859756845091,0.0108771200253359,2.13750193153604,"SR","DMD_GH1","1a"
3,14.4032569984536,-0.00851328892993878,0.0988609905523045,1.92697584316299,"EXG","DMD_GH1","1a"
3,15.3287488738113,-0.00890185634853688,0.0545669671984417,2.08739256910398,"TGI","DMD_GH1","1a"
4,13.5269878710414,0.215931779966083,0.00962684500219191,2.13558662421944,"NDVI","DMD_GH1","1a"
4,13.0383972850671,0.272285276011583,0.0131262904273816,2.12294067121089,"GNDVI","DMD_GH1","1a"
4,13.6855500656727,0.100785068004482,0.00966000155042358,2.13484900353049,"EVI2","DMD_GH1","1a"
4,14.0991995257665,0.0190735907871279,0.00280220513009138,2.16583759274322,"SR","DMD_GH1","1a"
4,14.4357054333078,0.00589842741053893,0.00913612805357698,2.1985711475474,"EXG","DMD_GH1","1a"
4,13.89601087553,0.00963638713304884,0.00487860538510429,2.19009667824326,"TGI","DMD_GH1","1a"
5,9.9298472831349,0.760846532303216,0.415658818073075,1.7161695590213,"NDVI","DMD_GH1","1a"
5,8.93774954036695,0.910837445447375,0.431085525073982,1.70243129917724,"GNDVI","DMD_GH1","1a"
5,10.4808288166057,0.341016901837122,0.412420449810328,1.72918535086831,"EVI2","DMD_GH1","1a"
5,11.4762207323297,0.0766053428913603,0.338290878673407,1.87880724208283,"SR","DMD_GH1","1a"
5,12.4919739391787,0.012825403117527,0.210741143441674,1.91110104480233,"EXG","DMD_GH1","1a"
5,11.445794799606,0.0238005831504447,0.106602461269068,2.04940896558694,"TGI","DMD_GH1","1a"
6,7.76071507486444,0.912468572873893,0.511863976369201,1.57785111647018,"NDVI","DMD_GH1","1a"
6,6.91209886955647,1.08227003903755,0.504860937014617,1.58032978988164,"GNDVI","DMD_GH1","1a"
6,8.7499160502372,0.362499826079866,0.501594478275659,1.5837457292087,"EVI2","DMD_GH1","1a"
6,11.6303197246284,0.0390052355887584,0.404758972227764,1.69913032580475,"SR","DMD_GH1","1a"
6,10.400319508468,0.0129823138820842,0.2731387410622,1.69253502102343,"EXG","DMD_GH1","1a"
6,9.5949333947279,0.02597928474524,0.184834134152818,1.80221949887851,"TGI","DMD_GH1","1a"
7,4.05714780293609,1.57535782189318,0.508056023753134,1.70789536910338,"NDVI","DMD_GH1","1a"
7,3.58532189361524,1.763724894479,0.497414174204046,1.69657242668093,"GNDVI","DMD_GH1","1a"
7,5.67257798843672,0.541612739104841,0.507725528054988,1.64992723008721,"EVI2","DMD_GH1","1a"
7,10.889417436593,0.0288011969646896,0.450438689139366,1.59774969839656,"SR","DMD_GH1","1a"
7,9.86423614029986,0.0128924951378958,0.131720008958581,1.78278192800938,"EXG","DMD_GH1","1a"
7,11.3372879539547,0.0146963808904287,0.0387327837748436,1.99674477447736,"TGI","DMD_GH1","1a"
8,0.751620452605204,3.39729362020329,0.324821458655549,1.71701533730795,"NDVI","DMD_GH1","1a"
8,1.1615154780945,2.96885343240096,0.292094212272578,1.63479604007594,"GNDVI","DMD_GH1","1a"
8,2.24121702971596,0.965568271001927,0.330178914928238,1.62744642993979,"EVI2","DMD_GH1","1a"
8,9.59188210839396,0.0280174921112093,0.269234991226133,1.62659376538257,"SR","DMD_GH1","1a"
8,14.2174129659951,0.00107813427245105,0.00688202417871617,2.17091578530295,"EXG","DMD_GH1","1a"
8,14.3605700264358,0.00138784242877996,0.00393708665983026,2.17861762067761,"TGI","DMD_GH1","1a"
9,0.678669457485446,3.43159963751806,0.213012571988848,1.69954348883712,"NDVI","DMD_GH1","1a"
9,0.85756254703945,3.24108362567507,0.196168070318585,1.68957779708517,"GNDVI","DMD_GH1","1a"
9,1.54784459305924,1.1141268612987,0.247533531629041,1.65335486680555,"EVI2","DMD_GH1","1a"
9,10.4535817829112,0.018403900225599,0.186008701880949,1.73517127051353,"SR","DMD_GH1","1a"
9,26.076973066106,-0.0204171291644929,0.171883377700616,2.10138096174896,"EXG","DMD_GH1","1a"
9,27.1335482310368,-0.0393951193237126,0.19640217885525,2.01184544719609,"TGI","DMD_GH1","1a"
10,0.569116343502724,3.6964651608067,0.0951155218206842,1.84991541921378,"NDVI","DMD_GH1","1a"
10,0.112925640815823,5.60850140845918,0.212284555712722,1.75368120651398,"GNDVI","DMD_GH1","1a"
10,0.252001906989902,2.0482562260127,0.249536450257545,1.6912201411619,"EVI2","DMD_GH1","1a"
10,9.68530464188153,0.0266069197953057,0.0942728162787385,1.89182265651463,"SR","DMD_GH1","1a"
10,24.6294858654162,-0.0151899474550223,0.105347407442712,2.20613450127273,"EXG","DMD_GH1","1a"
10,25.3518117854985,-0.0284303476591307,0.110434234989261,2.19284028610958,"TGI","DMD_GH1","1a"
12,8.9067282265307,0.56656309250193,0.0239705378397941,2.13339807151922,"NDVI","DMD_GH1","1a"
12,5.01124036431791,1.20056303823662,0.0438246735049707,2.08116884506968,"GNDVI","DMD_GH1","1a"
12,7.33776200292623,0.349652522072024,0.0504759108640141,2.07530952834833,"EVI2","DMD_GH1","1a"
12,13.8041638989101,0.00368829972572519,0.0184416153487641,2.1374505903609,"SR","DMD_GH1","1a"
12,15.7471231615034,-0.012996865485404,0.0714211135254003,2.04399784853491,"EXG","DMD_GH1","1a"
12,15.8029098052317,-0.0198572008282803,0.0493813126201116,2.05952317154974,"TGI","DMD_GH1","1a"
13,0.422893888784552,4.00446302660879,0.198308846758944,1.71787953413342,"NDVI","DMD_GH1","1a"
13,0.221743279989725,4.84895662971374,0.191155268757166,1.69624744029124,"GNDVI","DMD_GH1","1a"
13,0.422892347460632,1.79292002732908,0.252879487107643,1.59902430320196,"EVI2","DMD_GH1","1a"
